block,price,ts
13539342,3031454440000000000,1635880767
13539343,3031454440000000000,1635880799
13539344,3031454440000000000,1635880804
13539345,3031454440000000000,1635880821
13539346,3031454440000000000,1635880849
13539347,3031454440000000000,1635880871
13539348,3031454440000000000,1635880878
13539349,3031454440000000000,1635880892
13539350,3031454440000000000,1635880897
13539351,3031454440000000000,1635880900
13539352,3031454440000000000,1635880924
13539353,3031454440000000000,1635880935
13539354,3031454440000000000,1635880959
13539355,3031454440000000000,1635880967
13539356,3031454440000000000,1635880977
13539357,3031454440000000000,1635880979
13539358,3031454440000000000,1635880989
13539359,3031454440000000000,1635880990
13539360,3031454440000000000,1635880993
13539361,3031454440000000000,1635881013
13539362,3031454440000000000,1635881055
13539363,3031454440000000000,1635881058
13539364,3031454440000000000,1635881093
13539365,3031454440000000000,1635881113
13539366,3031454440000000000,1635881135
13539367,3031454440000000000,1635881148
13539368,3031454440000000000,1635881162
13539369,3031454440000000000,1635881166
13539370,3031454440000000000,1635881172
13539371,3031454440000000000,1635881176
13539372,3031454440000000000,1635881191
13539373,3031454440000000000,1635881195
13539374,3031454440000000000,1635881205
13539375,3031454440000000000,1635881207
13539376,3031454440000000000,1635881236
13539377,3031454440000000000,1635881244
13539378,3031454440000000000,1635881245
13539379,3031454440000000000,1635881254
13539380,3031454440000000000,1635881262
13539381,3031454440000000000,1635881294
13539382,3031454440000000000,1635881295
13539383,3031454440000000000,1635881301
13539384,3031454440000000000,1635881302
13539385,3031454440000000000,1635881337
13539386,3031454440000000000,1635881340
13539387,3031454440000000000,1635881345
13539388,3031454440000000000,1635881396
13539389,3031454440000000000,1635881413
13539390,3031454440000000000,1635881445
13539391,3031454440000000000,1635881462
13539392,3031454440000000000,1635881466
13539393,3031454440000000000,1635881483
13539394,3031454440000000000,1635881503
13539395,3031454440000000000,1635881509
13539396,3031454440000000000,1635881519
13539397,3031454440000000000,1635881536
13539398,3031454440000000000,1635881542
13539399,3031454440000000000,1635881555
13539400,3031454440000000000,1635881563
13539401,3031454440000000000,1635881568
13539402,3031454440000000000,1635881571
13539403,3031454440000000000,1635881575
13539404,3031454440000000000,1635881624
13539405,3031454440000000000,1635881634
13539406,3031454440000000000,1635881686
13539407,3031454440000000000,1635881689
13539408,3031454440000000000,1635881710
13539409,3031454440000000000,1635881714
13539410,3031454440000000000,1635881726
13539411,3031454440000000000,1635881746
13539412,3031454440000000000,1635881749
13539413,3031454440000000000,1635881752
13539414,3031454440000000000,1635881769
13539415,3031454440000000000,1635881789
13539416,3031454440000000000,1635881803
13539417,3031454440000000000,1635881804
13539418,3031454440000000000,1635881806
13539419,3031454440000000000,1635881813
13539420,3031454440000000000,1635881826
13539421,3031454440000000000,1635881849
13539422,3031454440000000000,1635881855
13539423,3031454440000000000,1635881857
13539424,3031454440000000000,1635881871
13539425,3031454440000000000,1635881877
13539426,3031454440000000000,1635881907
13539427,3031454440000000000,1635881913
13539428,3031454440000000000,1635881942
13539429,3031454440000000000,1635881978
13539430,3031454440000000000,1635881993
13539431,3031454440000000000,1635882004
13539432,3031454440000000000,1635882080
13539433,3031454440000000000,1635882088
13539434,3031454440000000000,1635882101
13539435,3031454440000000000,1635882107
13539436,3031454440000000000,1635882117
13539437,3031454440000000000,1635882123
13539438,3031454440000000000,1635882145
13539439,3031454440000000000,1635882156
